building,vlan,name,role,assumed_endpoints,growth_endpoints,reserved_hosts,network,mask,wildcard,first_host,last_host,broadcast,usable,endpoint_capacity,vip,dist1,dist2,dhcp_start,dhcp_end
C,70,VOICE,voice,44,55,15,10.30.3.0/25,255.255.255.128,0.0.0.127,10.30.3.1,10.30.3.126,10.30.3.127,126,111,10.30.3.1,10.30.3.2,10.30.3.3,10.30.3.16,10.30.3.126
C,80,SECURITY,security,16,20,15,10.30.4.0/26,255.255.255.192,0.0.0.63,10.30.4.1,10.30.4.62,10.30.4.63,62,47,10.30.4.1,10.30.4.2,10.30.4.3,,
C,99,MANAGEMENT,management,16,20,15,10.30.4.64/26,255.255.255.192,0.0.0.63,10.30.4.65,10.30.4.126,10.30.4.127,62,47,10.30.4.65,10.30.4.66,10.30.4.67,,
D,10,ADMIN,admin,24,30,15,10.40.4.0/26,255.255.255.192,0.0.0.63,10.40.4.1,10.40.4.62,10.40.4.63,62,47,10.40.4.1,10.40.4.2,10.40.4.3,10.40.4.16,10.40.4.62
D,20,FACULTY,faculty,40,50,15,10.40.2.0/25,255.255.255.128,0.0.0.127,10.40.2.1,10.40.2.126,10.40.2.127,126,111,10.40.2.1,10.40.2.2,10.40.2.3,10.40.2.16,10.40.2.126
D,30,BUSINESS_STUDENTS,student,120,150,15,10.40.0.0/24,255.255.255.0,0.0.0.255,10.40.0.1,10.40.0.254,10.40.0.255,254,239,10.40.0.1,10.40.0.2,10.40.0.3,10.40.0.16,10.40.0.254
D,31,ACCOUNTING_STUDENTS,student,100,125,15,10.40.1.0/24,255.255.255.0,0.0.0.255,10.40.1.1,10.40.1.254,10.40.1.255,254,239,10.40.1.1,10.40.1.2,10.40.1.3,10.40.1.16,10.40.1.254
D,32,ECONOMICS_STUDENTS,student,80,100,15,10.40.2.128/25,255.255.255.128,0.0.0.127,10.40.2.129,10.40.2.254,10.40.2.255,126,111,10.40.2.129,10.40.2.130,10.40.2.131,10.40.2.144,10.40.2.254
D,60,GUEST,guest,60,75,15,10.40.3.0/25,255.255.255.128,0.0.0.127,10.40.3.1,10.40.3.126,10.40.3.127,126,111,10.40.3.1,10.40.3.2,10.40.3.3,10.40.3.16,10.40.3.126
D,70,VOICE,voice,48,60,15,10.40.3.128/25,255.255.255.128,0.0.0.127,10.40.3.129,10.40.3.254,10.40.3.255,126,111,10.40.3.129,10.40.3.130,10.40.3.131,10.40.3.144,10.40.3.254
D,80,SECURITY,security,12,15,15,10.40.4.128/27,255.255.255.224,0.0.0.31,10.40.4.129,10.40.4.158,10.40.4.159,30,15,10.40.4.129,10.40.4.130,10.40.4.131,,
D,99,MANAGEMENT,management,16,20,15,10.40.4.64/26,255.255.255.192,0.0.0.63,10.40.4.65,10.40.4.126,10.40.4.127,62,47,10.40.4.65,10.40.4.66,10.40.4.67,,
E,10,UNIVERSITY_ADMIN,admin,40,50,15,10.50.0.0/25,255.255.255.128,0.0.0.127,10.50.0.1,10.50.0.126,10.50.0.127,126,111,10.50.0.1,10.50.0.2,10.50.0.3,10.50.0.16,10.50.0.126
E,11,STUDENT_AFFAIRS,admin,60,75,15,10.50.0.128/25,255.255.255.128,0.0.0.127,10.50.0.129,10.50.0.254,10.50.0.255,126,111,10.50.0.129,10.50.0.130,10.50.0.131,10.50.0.144,10.50.0.254
E,12,HR,hr,28,35,15,10.50.2.0/26,255.255.255.192,0.0.0.63,10.50.2.1,10.50.2.62,10.50.2.63,62,47,10.50.2.1,10.50.2.2,10.50.2.3,10.50.2.16,10.50.2.62
E,13,FINANCE,finance,28,35,15,10.50.2.64/26,255.255.255.192,0.0.0.63,10.50.2.65,10.50.2.126,10.50.2.127,62,47,10.50.2.65,10.50.2.66,10.50.2.67,10.50.2.80,10.50.2.126
E,50,SERVERS,server,24,30,15,10.50.2.128/26,255.255.255.192,0.0.0.63,10.50.2.129,10.50.2.190,10.50.2.191,62,47,10.50.2.129,10.50.2.130,10.50.2.131,,
E,60,GUEST,guest,40,50,15,10.50.1.0/25,255.255.255.128,0.0.0.127,10.50.1.1,10.50.1.126,10.50.1.127,126,111,10.50.1.1,10.50.1.2,10.50.1.3,10.50.1.16,10.50.1.126
E,70,VOICE,voice,70,88,15,10.50.1.128/25,255.255.255.128,0.0.0.127,10.50.1.129,10.50.1.254,10.50.1.255,126,111,10.50.1.129,10.50.1.130,10.50.1.131,10.50.1.144,10.50.1.254
E,80,SECURITY,security,20,25,15,10.50.2.192/26,255.255.255.192,0.0.0.63,10.50.2.193,10.50.2.254,10.50.2.255,62,47,10.50.2.193,10.50.2.194,10.50.2.195,,
E,99,MANAGEMENT,management,24,30,15,10.50.3.0/26,255.255.255.192,0.0.0.63,10.50.3.1,10.50.3.62,10.50.3.63,62,47,10.50.3.1,10.50.3.2,10.50.3.3,,
